iter	Passed	Remaining
0	5	5407
1	11	5751
2	17	5843
3	22	5555
4	27	5456
5	32	5351
6	37	5250
7	44	5502
8	48	5331
9	52	5239
10	57	5137
11	61	5089
12	66	5033
13	71	5000
14	75	4976
15	81	4985
16	85	4955
17	90	4944
18	95	4934
19	99	4897
20	104	4874
21	109	4881
22	114	4884
23	121	4927
24	126	4931
25	131	4912
26	135	4894
27	141	4917
28	147	4922
29	151	4902
30	156	4892
31	160	4868
32	165	4849
33	170	4856
34	176	4874
35	181	4857
36	185	4829
37	190	4811
38	195	4812
39	199	4792
40	209	4896
41	213	4880
42	218	4865
43	223	4863
44	228	4853
45	233	4833
46	237	4823
47	242	4814
48	247	4795
49	251	4775
50	259	4819
51	263	4798
52	267	4780
53	274	4808
54	279	4794
55	283	4777
56	287	4760
57	292	4747
58	296	4726
59	300	4709
60	304	4691
61	309	4678
62	313	4658
63	320	4681
64	325	4677
65	329	4669
66	334	4652
67	338	4636
68	342	4623
69	347	4614
70	351	4604
71	356	4598
72	361	4584
73	368	4613
74	373	4605
75	378	4596
76	383	4598
77	389	4606
78	394	4601
79	399	4597
80	405	4595
81	410	4593
82	415	4593
83	420	4584
84	425	4579
85	430	4572
86	435	4571
87	440	4566
88	445	4561
89	450	4558
90	455	4553
91	460	4548
92	465	4541
93	471	4542
94	475	4527
95	480	4520
96	484	4514
97	490	4516
98	495	4508
99	500	4503
100	505	4503
101	510	4497
102	515	4489
103	520	4481
104	525	4476
105	529	4469
106	536	4473
107	539	4458
108	544	4450
109	549	4442
110	555	4448
111	560	4442
112	565	4441
113	570	4436
114	575	4430
115	580	4421
116	584	4414
117	588	4401
118	593	4394
119	598	4388
120	603	4381
121	607	4372
122	613	4377
123	619	4379
124	624	4370
125	628	4362
126	633	4355
127	638	4350
128	643	4345
129	648	4338
130	652	4331
131	658	4330
132	662	4319
133	668	4317
134	672	4308
135	676	4300
136	682	4299
137	686	4290
138	691	4283
139	695	4273
140	700	4267
141	704	4256
142	709	4249
143	713	4244
144	718	4234
145	722	4223
146	727	4222
147	733	4219
148	737	4211
149	741	4202
150	746	4196
151	751	4191
152	756	4185
153	760	4176
154	766	4180
155	771	4173
156	775	4165
157	779	4155
158	783	4146
159	788	4137
160	796	4148
161	800	4139
162	804	4130
163	808	4121
164	813	4114
165	817	4108
166	821	4099
167	826	4092
168	830	4083
169	836	4083
170	840	4075
171	845	4070
172	849	4062
173	854	4055
174	858	4048
175	862	4039
176	866	4029
177	870	4021
178	876	4019
179	881	4016
180	885	4008
181	890	4003
182	895	3999
183	900	3992
184	904	3985
185	908	3977
186	913	3972
187	918	3965
188	922	3958
189	927	3952
190	931	3945
191	935	3937
192	940	3931
193	944	3924
194	949	3918
195	953	3911
196	958	3907
197	963	3902
198	967	3895
199	971	3887
200	976	3880
201	982	3879
202	985	3869
203	989	3861
204	996	3862
205	1000	3855
206	1004	3849
207	1009	3843
208	1013	3836
209	1017	3828
210	1022	3822
211	1026	3816
212	1031	3810
213	1035	3804
214	1040	3799
215	1044	3791
216	1048	3783
217	1052	3776
218	1057	3770
219	1061	3764
220	1066	3758
221	1070	3750
222	1074	3742
223	1078	3736
224	1083	3732
225	1088	3729
226	1093	3723
227	1098	3717
228	1102	3711
229	1106	3705
230	1111	3699
231	1115	3693
232	1119	3686
233	1124	3680
234	1128	3673
235	1132	3666
236	1137	3660
237	1141	3653
238	1145	3646
239	1149	3640
240	1153	3632
241	1158	3628
242	1163	3623
243	1167	3617
244	1171	3610
245	1175	3603
246	1180	3597
247	1187	3601
248	1191	3594
249	1195	3587
250	1203	3590
251	1207	3585
252	1212	3579
253	1216	3573
254	1221	3569
255	1226	3564
256	1231	3559
257	1236	3555
258	1241	3550
259	1244	3543
260	1250	3539
261	1257	3541
262	1261	3534
263	1265	3528
264	1270	3523
265	1274	3517
266	1278	3510
267	1284	3507
268	1289	3503
269	1293	3497
270	1297	3491
271	1302	3485
272	1306	3479
273	1311	3474
274	1315	3467
275	1319	3462
276	1324	3455
277	1328	3449
278	1332	3443
279	1337	3438
280	1341	3431
281	1345	3425
282	1350	3420
283	1354	3415
284	1358	3409
285	1365	3409
286	1369	3402
287	1373	3395
288	1377	3389
289	1382	3384
290	1386	3378
291	1391	3374
292	1395	3367
293	1400	3362
294	1404	3355
295	1408	3349
296	1412	3343
297	1416	3337
298	1421	3332
299	1426	3327
300	1431	3323
301	1435	3318
302	1439	3311
303	1443	3305
304	1448	3301
305	1453	3296
306	1457	3290
307	1461	3284
308	1465	3277
309	1470	3272
310	1474	3267
311	1479	3261
312	1485	3259
313	1489	3254
314	1494	3250
315	1499	3245
316	1504	3240
317	1507	3234
318	1514	3234
319	1518	3227
320	1523	3222
321	1527	3216
322	1532	3211
323	1536	3205
324	1540	3199
325	1544	3193
326	1549	3189
327	1554	3185
328	1559	3180
329	1563	3174
330	1567	3169
331	1572	3164
332	1577	3160
333	1582	3155
334	1586	3150
335	1591	3144
336	1595	3138
337	1599	3132
338	1604	3127
339	1608	3122
340	1612	3116
341	1617	3111
342	1621	3106
343	1626	3101
344	1631	3096
345	1635	3092
346	1640	3087
347	1645	3082
348	1650	3078
349	1654	3072
350	1658	3067
351	1663	3062
352	1668	3057
353	1673	3053
354	1678	3049
355	1682	3044
356	1687	3038
357	1691	3032
358	1695	3027
359	1700	3023
360	1705	3017
361	1709	3013
362	1714	3008
363	1718	3002
364	1722	2997
365	1727	2991
366	1731	2986
367	1735	2980
368	1739	2975
369	1744	2969
370	1749	2965
371	1753	2960
372	1758	2955
373	1763	2950
374	1767	2945
375	1771	2940
376	1776	2935
377	1781	2930
378	1786	2926
379	1790	2921
380	1795	2917
381	1800	2912
382	1805	2908
383	1809	2903
384	1814	2898
385	1819	2893
386	1823	2889
387	1828	2884
388	1832	2878
389	1837	2873
390	1843	2871
391	1847	2865
392	1852	2860
393	1856	2855
394	1861	2850
395	1865	2846
396	1870	2840
397	1875	2837
398	1880	2832
399	1888	2832
400	1893	2827
401	1898	2824
402	1903	2820
403	1909	2817
404	1914	2812
405	1918	2807
406	1923	2802
407	1928	2797
408	1932	2792
409	1938	2789
410	1943	2785
411	1949	2782
412	1955	2778
413	1960	2774
414	1965	2770
415	1974	2772
416	1979	2767
417	1984	2763
418	1989	2758
419	1993	2753
420	1998	2747
421	2002	2743
422	2008	2740
423	2013	2735
424	2017	2729
425	2022	2724
426	2027	2720
427	2032	2716
428	2037	2711
429	2042	2706
430	2046	2702
431	2052	2698
432	2059	2696
433	2063	2691
434	2068	2686
435	2074	2683
436	2078	2678
437	2083	2673
438	2088	2668
439	2093	2664
440	2098	2659
441	2103	2656
442	2108	2651
443	2113	2646
444	2118	2642
445	2123	2637
446	2128	2632
447	2133	2628
448	2139	2626
449	2144	2620
450	2151	2618
451	2156	2614
452	2161	2610
453	2167	2607
454	2173	2603
455	2177	2597
456	2181	2592
457	2186	2586
458	2190	2581
459	2195	2576
460	2200	2573
461	2206	2569
462	2210	2564
463	2215	2558
464	2221	2555
465	2226	2550
466	2230	2546
467	2235	2541
468	2239	2536
469	2244	2531
470	2249	2526
471	2255	2522
472	2260	2518
473	2265	2513
474	2269	2508
475	2274	2503
476	2279	2499
477	2284	2494
478	2289	2489
479	2294	2486
480	2299	2481
481	2304	2476
482	2309	2471
483	2314	2467
484	2318	2462
485	2322	2456
486	2327	2451
487	2332	2446
488	2338	2443
489	2342	2438
490	2347	2433
491	2352	2429
492	2357	2424
493	2361	2419
494	2367	2415
495	2371	2409
496	2377	2406
497	2382	2401
498	2387	2396
499	2391	2391
500	2396	2386
501	2400	2381
502	2405	2376
503	2412	2374
504	2417	2369
505	2422	2365
506	2428	2361
507	2432	2355
508	2437	2351
509	2442	2347
510	2447	2342
511	2452	2337
512	2457	2332
513	2463	2328
514	2467	2323
515	2472	2318
516	2477	2314
517	2482	2309
518	2486	2304
519	2493	2301
520	2499	2297
521	2503	2292
522	2508	2288
523	2513	2283
524	2518	2278
525	2522	2273
526	2527	2268
527	2532	2263
528	2537	2259
529	2541	2254
530	2546	2249
531	2551	2244
532	2555	2239
533	2560	2234
534	2566	2230
535	2570	2225
536	2576	2221
537	2581	2216
538	2586	2211
539	2591	2207
540	2595	2202
541	2599	2197
542	2604	2191
543	2608	2186
544	2613	2181
545	2617	2176
546	2621	2171
547	2627	2167
548	2631	2161
549	2636	2156
550	2641	2152
551	2646	2147
552	2650	2142
553	2655	2137
554	2659	2132
555	2664	2127
556	2668	2122
557	2672	2117
558	2677	2111
559	2681	2106
560	2687	2103
561	2692	2098
562	2696	2093
563	2701	2088
564	2706	2083
565	2711	2079
566	2715	2073
567	2720	2069
568	2724	2064
569	2729	2058
570	2732	2053
571	2737	2048
572	2741	2042
573	2745	2037
574	2749	2032
575	2754	2027
576	2760	2024
577	2765	2019
578	2770	2014
579	2775	2009
580	2779	2004
581	2784	1999
582	2789	1995
583	2794	1990
584	2797	1984
585	2802	1979
586	2807	1975
587	2812	1970
588	2816	1965
589	2821	1960
590	2827	1956
591	2831	1951
592	2836	1946
593	2841	1941
594	2845	1936
595	2850	1931
596	2855	1927
597	2859	1922
598	2863	1917
599	2868	1912
600	2872	1907
601	2876	1901
602	2880	1896
603	2884	1891
604	2890	1887
605	2894	1882
606	2901	1878
607	2906	1873
608	2910	1868
609	2914	1863
610	2919	1858
611	2924	1854
612	2928	1848
613	2933	1844
614	2938	1839
615	2942	1834
616	2950	1831
617	2955	1826
618	2959	1821
619	2965	1817
620	2970	1812
621	2975	1808
622	2982	1804
623	2986	1799
624	2990	1794
625	2994	1789
626	2998	1784
627	3003	1779
628	3007	1773
629	3011	1768
630	3016	1764
631	3021	1759
632	3026	1754
633	3030	1749
634	3036	1745
635	3040	1740
636	3046	1735
637	3051	1731
638	3055	1726
639	3059	1721
640	3064	1716
641	3068	1711
642	3073	1706
643	3077	1701
644	3082	1696
645	3086	1691
646	3091	1686
647	3095	1681
648	3100	1676
649	3104	1671
650	3109	1667
651	3116	1663
652	3120	1658
653	3125	1653
654	3129	1648
655	3134	1643
656	3138	1638
657	3145	1635
658	3150	1630
659	3154	1625
660	3158	1620
661	3165	1616
662	3171	1611
663	3177	1607
664	3182	1603
665	3188	1599
666	3194	1594
667	3199	1590
668	3204	1585
669	3209	1580
670	3213	1575
671	3217	1570
672	3222	1565
673	3226	1560
674	3231	1555
675	3235	1550
676	3240	1545
677	3244	1540
678	3249	1536
679	3253	1531
680	3258	1526
681	3263	1521
682	3267	1516
683	3272	1511
684	3276	1506
685	3282	1502
686	3286	1497
687	3291	1492
688	3295	1487
689	3300	1482
690	3304	1477
691	3309	1472
692	3314	1468
693	3319	1463
694	3323	1458
695	3329	1454
696	3333	1449
697	3337	1444
698	3344	1440
699	3348	1435
700	3353	1430
701	3357	1425
702	3362	1420
703	3366	1415
704	3370	1410
705	3375	1405
706	3380	1400
707	3384	1395
708	3388	1390
709	3392	1385
710	3397	1380
711	3401	1375
712	3405	1370
713	3409	1365
714	3413	1360
715	3418	1356
716	3423	1351
717	3427	1346
718	3431	1341
719	3435	1336
720	3440	1331
721	3445	1326
722	3450	1321
723	3454	1317
724	3459	1312
725	3463	1307
726	3467	1302
727	3472	1297
728	3477	1292
729	3481	1287
730	3486	1282
731	3490	1277
732	3496	1273
733	3501	1268
734	3505	1263
735	3510	1259
736	3514	1254
737	3519	1249
738	3524	1244
739	3528	1239
740	3531	1234
741	3536	1229
742	3541	1224
743	3545	1220
744	3550	1215
745	3554	1210
746	3559	1205
747	3563	1200
748	3568	1195
749	3572	1190
750	3580	1187
751	3586	1182
752	3591	1178
753	3596	1173
754	3602	1168
755	3607	1164
756	3612	1159
757	3616	1154
758	3621	1149
759	3625	1144
760	3629	1139
761	3634	1135
762	3639	1130
763	3643	1125
764	3647	1120
765	3651	1115
766	3656	1110
767	3660	1105
768	3664	1100
769	3671	1096
770	3675	1091
771	3679	1086
772	3685	1082
773	3689	1077
774	3693	1072
775	3697	1067
776	3703	1062
777	3708	1058
778	3712	1053
779	3717	1048
780	3722	1043
781	3727	1039
782	3731	1034
783	3736	1029
784	3741	1024
785	3747	1020
786	3751	1015
787	3756	1010
788	3761	1005
789	3765	1000
790	3769	996
791	3774	991
792	3779	986
793	3784	981
794	3789	977
795	3793	972
796	3797	967
797	3802	962
798	3808	958
799	3812	953
800	3817	948
801	3821	943
802	3825	938
803	3830	933
804	3835	929
805	3839	924
806	3843	919
807	3849	914
808	3853	909
809	3857	904
810	3861	900
811	3866	895
812	3871	890
813	3875	885
814	3880	880
815	3886	876
816	3891	871
817	3895	866
818	3899	861
819	3904	857
820	3908	852
821	3913	847
822	3918	842
823	3922	837
824	3926	832
825	3931	828
826	3936	823
827	3940	818
828	3944	813
829	3951	809
830	3956	804
831	3960	799
832	3967	795
833	3972	790
834	3976	785
835	3981	781
836	3986	776
837	3991	771
838	3997	767
839	4002	762
840	4006	757
841	4012	753
842	4017	748
843	4021	743
844	4026	738
845	4030	733
846	4035	728
847	4039	724
848	4044	719
849	4049	714
850	4054	709
851	4058	704
852	4063	700
853	4067	695
854	4072	690
855	4076	685
856	4081	681
857	4085	676
858	4090	671
859	4095	666
860	4100	661
861	4104	657
862	4110	652
863	4115	647
864	4119	642
865	4123	638
866	4128	633
867	4132	628
868	4136	623
869	4141	618
870	4145	614
871	4149	609
872	4154	604
873	4158	599
874	4163	594
875	4167	589
876	4172	585
877	4176	580
878	4181	575
879	4185	570
880	4190	565
881	4194	561
882	4199	556
883	4203	551
884	4209	547
885	4214	542
886	4218	537
887	4222	532
888	4227	527
889	4231	523
890	4236	518
891	4240	513
892	4246	508
893	4250	503
894	4255	499
895	4260	494
896	4264	489
897	4268	484
898	4273	480
899	4278	475
900	4282	470
901	4286	465
902	4291	460
903	4296	456
904	4300	451
905	4306	446
906	4310	442
907	4315	437
908	4319	432
909	4324	427
910	4329	422
911	4333	418
912	4338	413
913	4343	408
914	4348	403
915	4353	399
916	4359	394
917	4363	389
918	4370	385
919	4375	380
920	4381	375
921	4385	371
922	4390	366
923	4395	361
924	4399	356
925	4403	351
926	4408	347
927	4413	342
928	4420	337
929	4424	333
930	4428	328
931	4432	323
932	4437	318
933	4446	314
934	4454	309
935	4459	304
936	4463	300
937	4468	295
938	4472	290
939	4476	285
940	4480	280
941	4484	276
942	4489	271
943	4493	266
944	4497	261
945	4504	257
946	4508	252
947	4512	247
948	4516	242
949	4521	237
950	4525	233
951	4530	228
952	4534	223
953	4539	218
954	4544	214
955	4550	209
956	4555	204
957	4559	199
958	4564	195
959	4569	190
960	4574	185
961	4578	180
962	4583	176
963	4588	171
964	4592	166
965	4596	161
966	4601	157
967	4605	152
968	4609	147
969	4613	142
970	4618	137
971	4623	133
